Diagnosis,Care Plan
Depression,Cognitive behavioral therapy and antidepressants
Heart disease,Diet modification and cardiac rehabilitation
Asthma,Inhaled corticosteroids and bronchodilators
Chronic kidney disease,Dialysis and dietary management
Heart disease,Diet modification and cardiac rehabilitation
Asthma,Inhaled corticosteroids and bronchodilators
Diabetes,Blood sugar monitoring and insulin therapy
Heart disease,Diet modification and cardiac rehabilitation
Chronic kidney disease,Dialysis and dietary management
Obesity,"Diet, exercise, and behavioral therapy"
Hypertension,Lifestyle changes and antihypertensive medication
Obesity,"Diet, exercise, and behavioral therapy"
Diabetes,Blood sugar monitoring and insulin therapy
Heart disease,Diet modification and cardiac rehabilitation
Diabetes,Blood sugar monitoring and insulin therapy
Heart disease,Diet modification and cardiac rehabilitation
Obesity,"Diet, exercise, and behavioral therapy"
Obesity,"Diet, exercise, and behavioral therapy"
Chronic kidney disease,Dialysis and dietary management
Depression,Cognitive behavioral therapy and antidepressants
Chronic kidney disease,Dialysis and dietary management
Asthma,Inhaled corticosteroids and bronchodilators
Diabetes,Blood sugar monitoring and insulin therapy
Depression,Cognitive behavioral therapy and antidepressants
Depression,Cognitive behavioral therapy and antidepressants
Asthma,Inhaled corticosteroids and bronchodilators
Diabetes,Blood sugar monitoring and insulin therapy
Diabetes,Blood sugar monitoring and insulin therapy
Asthma,Inhaled corticosteroids and bronchodilators
Heart disease,Diet modification and cardiac rehabilitation
Diabetes,Blood sugar monitoring and insulin therapy
Arthritis,Physical therapy and NSAIDs
Heart disease,Diet modification and cardiac rehabilitation
Diabetes,Blood sugar monitoring and insulin therapy
Arthritis,Physical therapy and NSAIDs
Asthma,Inhaled corticosteroids and bronchodilators
Hypertension,Lifestyle changes and antihypertensive medication
Depression,Cognitive behavioral therapy and antidepressants
Asthma,Inhaled corticosteroids and bronchodilators
Arthritis,Physical therapy and NSAIDs
Asthma,Inhaled corticosteroids and bronchodilators
Heart disease,Diet modification and cardiac rehabilitation
Asthma,Inhaled corticosteroids and bronchodilators
Depression,Cognitive behavioral therapy and antidepressants
Obesity,"Diet, exercise, and behavioral therapy"
Diabetes,Blood sugar monitoring and insulin therapy
Obesity,"Diet, exercise, and behavioral therapy"
Depression,Cognitive behavioral therapy and antidepressants
Heart disease,Diet modification and cardiac rehabilitation
Hypertension,Lifestyle changes and antihypertensive medication
Asthma,Inhaled corticosteroids and bronchodilators
Diabetes,Blood sugar monitoring and insulin therapy
Heart disease,Diet modification and cardiac rehabilitation
Heart disease,Diet modification and cardiac rehabilitation
Depression,Cognitive behavioral therapy and antidepressants
Obesity,"Diet, exercise, and behavioral therapy"
