Disease,Herb,Preparation,Dosage,Primary_Use
Obesity,Garlic,Infusion,500mg capsule daily,Blood sugar control
HIV/AIDS,Basil,Tea,Apply externally,Anti-inflammatory
Kidney Disease,Clove,Decoction,Apply externally,Antibacterial
Cancer,Turmeric,Decoction,2 tsp twice a day,Calming
Gout,Chamomile,Infusion,2 tsp twice a day,Anti-inflammatory
Cancer,Dandelion,Decoction,1 cup daily,Digestive aid
Sinusitis,Basil,Tea,2 tsp twice a day,Antiviral
Arthritis,Neem,Tea,Apply externally,Immune booster
Cholera,Holy Basil,Paste,Apply externally,Antioxidant
Insomnia,Licorice Root,Infusion,2 tsp twice a day,Pain relief
Asthma,Chamomile,Decoction,2 tsp twice a day,Antioxidant
Cholera,Clove,Powder,2 tsp twice a day,Detoxifying
Diabetes,Lemongrass,Oil Extract,Apply externally,Antibacterial
Cholera,Holy Basil,Powder,2 tsp twice a day,Calming
Obesity,Rosemary,Powder,Apply externally,Blood sugar control
Stroke,Fenugreek,Infusion,1 cup daily,Digestive aid
Typhoid,Rosemary,Paste,1 cup daily,Calming
Ulcer,Ashwagandha,Powder,2 tsp twice a day,Antioxidant
Cholera,Turmeric,Tea,2 tsp twice a day,Immune booster
Epilepsy,Basil,Oil Extract,Apply externally,Antioxidant
COVID-19,Lemongrass,Tea,Apply externally,Antioxidant
Epilepsy,Ginger Root,Tea,500mg capsule daily,Anti-inflammatory
Hypertension,Turmeric,Tea,2 tsp twice a day,Antiviral
Bronchitis,Parsley,Powder,2 tsp twice a day,Antioxidant
Obesity,Garlic,Paste,2 tsp twice a day,Anti-inflammatory
Cholera,Sage,Decoction,500mg capsule daily,Immune booster
Tuberculosis,Echinacea,Tea,1 cup daily,Antiviral
Typhoid,Clove,Tea,1 cup daily,Immune booster
HIV/AIDS,Licorice Root,Oil Extract,1 cup daily,Detoxifying
Obesity,Peppermint,Decoction,1 cup daily,Immune booster
Kidney Disease,Sage,Oil Extract,500mg capsule daily,Immune booster
Kidney Disease,Aloe Vera,Tea,Apply externally,Liver support
Ulcer,Lavender,Tea,1 cup daily,Liver support
Gastritis,Garlic,Powder,Apply externally,Immune booster
Pneumonia,Thyme,Decoction,Apply externally,Anti-inflammatory
Sinusitis,Ashwagandha,Infusion,2 tsp twice a day,Antiviral
Obesity,Cinnamon,Oil Extract,1 cup daily,Pain relief
Arthritis,Dandelion,Powder,2 tsp twice a day,Calming
COVID-19,Lemongrass,Decoction,1 cup daily,Antibacterial
Migraine,Garlic,Tea,Apply externally,Respiratory support
Asthma,Clove,Powder,500mg capsule daily,Immune booster
Anemia,Lavender,Powder,Apply externally,Antibacterial
Hypertension,Coriander,Powder,2 tsp twice a day,Respiratory support
Obesity,Peppermint,Oil Extract,2 tsp twice a day,Calming
Bronchitis,Chamomile,Paste,Apply externally,Anti-inflammatory
Liver Disease,Licorice Root,Oil Extract,2 tsp twice a day,Detoxifying
Gastritis,Ashwagandha,Tea,500mg capsule daily,Calming
Obesity,Dandelion,Decoction,500mg capsule daily,Immune booster
Sinusitis,Ginseng,Infusion,500mg capsule daily,Detoxifying
Malaria,Dandelion,Tea,Apply externally,Antiviral
Liver Disease,Dandelion,Decoction,Apply externally,Digestive aid
Depression,Cinnamon,Oil Extract,1 cup daily,Antibacterial
Gastritis,Licorice Root,Paste,1 cup daily,Blood sugar control
Tuberculosis,Coriander,Oil Extract,1 cup daily,Blood sugar control
Hypertension,Lemongrass,Tea,Apply externally,Pain relief
Diabetes,Turmeric,Powder,500mg capsule daily,Antibacterial
Anxiety,Thyme,Powder,2 tsp twice a day,Respiratory support
Diarrhea,Coriander,Tea,500mg capsule daily,Detoxifying
Diabetes,Echinacea,Tea,2 tsp twice a day,Anti-inflammatory
Hypertension,Basil,Infusion,Apply externally,Anti-inflammatory
Pneumonia,Coriander,Decoction,Apply externally,Antioxidant
Cholera,Ashwagandha,Infusion,Apply externally,Respiratory support
Sinusitis,Basil,Paste,Apply externally,Antioxidant
Gastritis,Mint,Tea,1 cup daily,Liver support
Depression,Chamomile,Powder,500mg capsule daily,Respiratory support
Asthma,Holy Basil,Oil Extract,2 tsp twice a day,Blood sugar control
Epilepsy,Parsley,Paste,500mg capsule daily,Respiratory support
Epilepsy,Licorice Root,Paste,500mg capsule daily,Immune booster
Kidney Disease,Parsley,Infusion,2 tsp twice a day,Calming
Allergy,Fenugreek,Oil Extract,1 cup daily,Detoxifying
Diarrhea,Coriander,Tea,2 tsp twice a day,Immune booster
Flu,Thyme,Powder,1 cup daily,Antibacterial
Insomnia,Fenugreek,Tea,2 tsp twice a day,Blood sugar control
Tuberculosis,Aloe Vera,Paste,2 tsp twice a day,Immune booster
Malaria,Moringa,Paste,2 tsp twice a day,Calming
Depression,Parsley,Tea,2 tsp twice a day,Immune booster
Malaria,Thyme,Tea,2 tsp twice a day,Antiviral
Gastritis,Peppermint,Oil Extract,1 cup daily,Digestive aid
Insomnia,Echinacea,Infusion,500mg capsule daily,Calming
Cholera,Peppermint,Tea,Apply externally,Respiratory support
Cholera,Peppermint,Infusion,Apply externally,Calming
Gastritis,Aloe Vera,Infusion,2 tsp twice a day,Digestive aid
Gastritis,Echinacea,Infusion,2 tsp twice a day,Antiviral
Insomnia,Fenugreek,Infusion,Apply externally,Blood sugar control
Kidney Disease,Thyme,Oil Extract,500mg capsule daily,Pain relief
Bronchitis,Parsley,Paste,2 tsp twice a day,Immune booster
Insomnia,Peppermint,Decoction,1 cup daily,Antiviral
Tuberculosis,Lavender,Oil Extract,2 tsp twice a day,Blood sugar control
Pneumonia,Fenugreek,Tea,Apply externally,Calming
Cholera,Dandelion,Decoction,500mg capsule daily,Antiviral
Diarrhea,Coriander,Infusion,Apply externally,Detoxifying
Flu,Chamomile,Tea,500mg capsule daily,Respiratory support
Gastritis,Ashwagandha,Tea,1 cup daily,Antibacterial
Anxiety,Lemongrass,Powder,500mg capsule daily,Liver support
Liver Disease,Coriander,Paste,1 cup daily,Calming
Diarrhea,Chamomile,Paste,2 tsp twice a day,Antiviral
Typhoid,Ashwagandha,Tea,Apply externally,Calming
Obesity,Turmeric,Powder,1 cup daily,Antibacterial
Hypertension,Ashwagandha,Infusion,Apply externally,Liver support
Insomnia,Thyme,Tea,2 tsp twice a day,Calming
Pneumonia,Moringa,Decoction,Apply externally,Calming
Anemia,Peppermint,Paste,500mg capsule daily,Calming
Insomnia,Echinacea,Powder,Apply externally,Liver support
Tuberculosis,Clove,Infusion,Apply externally,Pain relief
Tuberculosis,Peppermint,Paste,1 cup daily,Calming
Kidney Disease,Ashwagandha,Powder,500mg capsule daily,Immune booster
Arthritis,Basil,Infusion,500mg capsule daily,Calming
Depression,Ashwagandha,Powder,2 tsp twice a day,Antiviral
Bronchitis,Licorice Root,Oil Extract,500mg capsule daily,Calming
Cancer,Coriander,Decoction,500mg capsule daily,Digestive aid
Asthma,Clove,Powder,2 tsp twice a day,Blood sugar control
Diarrhea,Rosemary,Paste,1 cup daily,Detoxifying
Stroke,Licorice Root,Infusion,Apply externally,Antibacterial
Anxiety,Licorice Root,Oil Extract,Apply externally,Detoxifying
Asthma,Fenugreek,Oil Extract,Apply externally,Antioxidant
Pneumonia,Neem,Powder,Apply externally,Anti-inflammatory
Obesity,Ginger Root,Paste,500mg capsule daily,Immune booster
Gout,Ginger Root,Tea,500mg capsule daily,Calming
Depression,Parsley,Powder,2 tsp twice a day,Calming
HIV/AIDS,Coriander,Powder,Apply externally,Liver support
COVID-19,Cinnamon,Oil Extract,1 cup daily,Antibacterial
Anemia,Chamomile,Oil Extract,2 tsp twice a day,Immune booster
Asthma,Dandelion,Tea,Apply externally,Digestive aid
Cancer,Fenugreek,Decoction,2 tsp twice a day,Detoxifying
Obesity,Holy Basil,Powder,2 tsp twice a day,Antibacterial
COVID-19,Coriander,Infusion,2 tsp twice a day,Anti-inflammatory
Typhoid,Chamomile,Paste,1 cup daily,Calming
Cholera,Mint,Paste,2 tsp twice a day,Liver support
Diarrhea,Echinacea,Oil Extract,500mg capsule daily,Calming
Hypertension,Holy Basil,Paste,2 tsp twice a day,Blood sugar control
Asthma,Thyme,Tea,2 tsp twice a day,Blood sugar control
Kidney Disease,Sage,Infusion,1 cup daily,Antioxidant
Obesity,Sage,Tea,2 tsp twice a day,Blood sugar control
Diabetes,Garlic,Tea,1 cup daily,Blood sugar control
Stroke,Neem,Oil Extract,2 tsp twice a day,Antibacterial
Stroke,Parsley,Paste,500mg capsule daily,Antiviral
Sinusitis,Holy Basil,Infusion,2 tsp twice a day,Antioxidant
Pneumonia,Turmeric,Decoction,Apply externally,Antiviral
Bronchitis,Dandelion,Decoction,500mg capsule daily,Anti-inflammatory
