Disease,Medicine,Dosage,Frequency,Form
Anxiety,Diazepam,100 mg,Once daily,Tablet
Hypertension,Hydrochlorothiazide,500 mg,Twice daily,Capsule
Anemia,Ranitidine,500 mg,Thrice daily,Syrup
Kidney Disease,Vitamin C,250 mg,Thrice daily,Injection
Insomnia,Metformin,250 mg,Thrice daily,Syrup
Pneumonia,Prednisone,500 mg,Once daily,Syrup
Asthma,Metformin,100 mg,Twice daily,Injection
Insomnia,Chloroquine,500 mg,Thrice daily,Tablet
Tuberculosis,Ranitidine,500 mg,Thrice daily,Syrup
Obesity,Ibuprofen,100 mg,As needed,Syrup
Liver Disease,Diazepam,100 mg,Once daily,Capsule
Pneumonia,Hydrochlorothiazide,250 mg,Thrice daily,Tablet
Allergy,Paracetamol,250 mg,As needed,Tablet
Ulcer,Warfarin,250 mg,As needed,Tablet
Anemia,Atorvastatin,100 mg,Thrice daily,Injection
Anemia,Vitamin C,250 mg,Once daily,Tablet
Hypertension,Azithromycin,100 mg,As needed,Injection
Hypertension,Salbutamol,100 mg,As needed,Capsule
Gout,Morphine,100 mg,As needed,Capsule
Anemia,Morphine,100 mg,Twice daily,Injection
Asthma,Azithromycin,250 mg,Twice daily,Capsule
Gastritis,Doxycycline,100 mg,Once daily,Tablet
Migraine,Ranitidine,100 mg,Once daily,Injection
Allergy,Aspirin,500 mg,Twice daily,Syrup
Gastritis,Aspirin,100 mg,Twice daily,Syrup
Anemia,Ciprofloxacin,100 mg,Twice daily,Capsule
Bronchitis,Omeprazole,250 mg,As needed,Tablet
Cancer,Losartan,100 mg,Thrice daily,Tablet
Malaria,Chloroquine,500 mg,Once daily,Syrup
Hypertension,Chloroquine,250 mg,As needed,Tablet
Cancer,Ibuprofen,100 mg,Twice daily,Injection
Malaria,Amoxicillin,250 mg,Twice daily,Syrup
Bronchitis,Paracetamol,100 mg,Once daily,Injection
Gout,Doxycycline,500 mg,As needed,Syrup
Asthma,Salbutamol,250 mg,Twice daily,Tablet
Diarrhea,Salbutamol,500 mg,Once daily,Syrup
HIV/AIDS,Aspirin,100 mg,Once daily,Injection
Arthritis,Ranitidine,250 mg,As needed,Syrup
Cancer,Amoxicillin,100 mg,As needed,Capsule
Malaria,Ciprofloxacin,250 mg,Twice daily,Syrup
Allergy,Paracetamol,250 mg,Twice daily,Tablet
Cancer,Ciprofloxacin,500 mg,Thrice daily,Injection
Obesity,Paracetamol,100 mg,As needed,Tablet
Obesity,Hydrochlorothiazide,250 mg,As needed,Syrup
Pneumonia,Insulin,500 mg,Twice daily,Injection
COVID-19,Ciprofloxacin,250 mg,Once daily,Tablet
Anemia,Insulin,100 mg,Thrice daily,Tablet
Anxiety,Insulin,500 mg,Once daily,Capsule
Allergy,Hydroxychloroquine,100 mg,Once daily,Syrup
Sinusitis,Doxycycline,500 mg,As needed,Tablet
Cholera,Amoxicillin,500 mg,Twice daily,Tablet
Tuberculosis,Ciprofloxacin,500 mg,Twice daily,Tablet
Anxiety,Insulin,100 mg,Twice daily,Tablet
Depression,Warfarin,250 mg,Once daily,Tablet
Kidney Disease,Ranitidine,250 mg,Thrice daily,Syrup
Flu,Salbutamol,100 mg,Once daily,Syrup
Arthritis,Hydrochlorothiazide,250 mg,Twice daily,Tablet
Sinusitis,Amoxicillin,100 mg,Twice daily,Injection
Gastritis,Doxycycline,500 mg,Thrice daily,Syrup
Allergy,Amoxicillin,250 mg,Thrice daily,Injection
Flu,Diazepam,100 mg,As needed,Tablet
Liver Disease,Ibuprofen,250 mg,Twice daily,Tablet
Flu,Amoxicillin,100 mg,As needed,Injection
Anxiety,Ranitidine,100 mg,Twice daily,Tablet
Malaria,Sertraline,500 mg,As needed,Tablet
Migraine,Hydroxychloroquine,500 mg,As needed,Capsule
Stroke,Insulin,500 mg,Thrice daily,Syrup
Gastritis,Atorvastatin,250 mg,As needed,Capsule
Anxiety,Morphine,500 mg,Once daily,Syrup
Epilepsy,Prednisone,250 mg,As needed,Injection
Epilepsy,Warfarin,500 mg,As needed,Capsule
Kidney Disease,Zinc Sulfate,250 mg,As needed,Capsule
Diabetes,Paracetamol,100 mg,Thrice daily,Injection
Migraine,Paracetamol,250 mg,As needed,Capsule
Cholera,Salbutamol,500 mg,As needed,Syrup
