Procedure,Condition
Cataract surgery,Cataract
Tonsillectomy,Tonsillitis
Dialysis,Kidney failure
Coronary bypass,Heart disease
Endoscopy,Gastrointestinal issues
Chemotherapy,Cancer
Cataract surgery,Cataract
Chemotherapy,Cancer
Endoscopy,Gastrointestinal issues
Cataract surgery,Cataract
Appendectomy,Appendicitis
Cataract surgery,Cataract
Hip replacement,Arthritis
Coronary bypass,Heart disease
Dialysis,Kidney failure
Endoscopy,Gastrointestinal issues
Hip replacement,Arthritis
Hip replacement,Arthritis
Appendectomy,Appendicitis
Hip replacement,Arthritis
Dialysis,Kidney failure
Chemotherapy,Cancer
Endoscopy,Gastrointestinal issues
Cataract surgery,Cataract
Dialysis,Kidney failure
Coronary bypass,Heart disease
Coronary bypass,Heart disease
Appendectomy,Appendicitis
Tonsillectomy,Tonsillitis
Appendectomy,Appendicitis
Endoscopy,Gastrointestinal issues
Appendectomy,Appendicitis
Cataract surgery,Cataract
Chemotherapy,Cancer
Chemotherapy,Cancer
Dialysis,Kidney failure
Coronary bypass,Heart disease
Endoscopy,Gastrointestinal issues
Dialysis,Kidney failure
Dialysis,Kidney failure
Appendectomy,Appendicitis
Coronary bypass,Heart disease
Hip replacement,Arthritis
Endoscopy,Gastrointestinal issues
Dialysis,Kidney failure
Dialysis,Kidney failure
Coronary bypass,Heart disease
Appendectomy,Appendicitis
Tonsillectomy,Tonsillitis
Endoscopy,Gastrointestinal issues
Tonsillectomy,Tonsillitis
Cataract surgery,Cataract
Endoscopy,Gastrointestinal issues
Hip replacement,Arthritis
Hip replacement,Arthritis
Cataract surgery,Cataract
Hip replacement,Arthritis
Dialysis,Kidney failure
Coronary bypass,Heart disease
Cataract surgery,Cataract
Appendectomy,Appendicitis
Cataract surgery,Cataract
Appendectomy,Appendicitis
Dialysis,Kidney failure
Cataract surgery,Cataract
Dialysis,Kidney failure
Appendectomy,Appendicitis
Appendectomy,Appendicitis
Dialysis,Kidney failure
Chemotherapy,Cancer
Tonsillectomy,Tonsillitis
Hip replacement,Arthritis
Chemotherapy,Cancer
Cataract surgery,Cataract
Chemotherapy,Cancer
Appendectomy,Appendicitis
Hip replacement,Arthritis
Cataract surgery,Cataract
Dialysis,Kidney failure
Hip replacement,Arthritis
Hip replacement,Arthritis
Chemotherapy,Cancer
Coronary bypass,Heart disease
Coronary bypass,Heart disease
Appendectomy,Appendicitis
Chemotherapy,Cancer
Cataract surgery,Cataract
Cataract surgery,Cataract
Endoscopy,Gastrointestinal issues
Coronary bypass,Heart disease
Endoscopy,Gastrointestinal issues
Coronary bypass,Heart disease
Appendectomy,Appendicitis
Tonsillectomy,Tonsillitis
Endoscopy,Gastrointestinal issues
Cataract surgery,Cataract
Endoscopy,Gastrointestinal issues
Tonsillectomy,Tonsillitis
Dialysis,Kidney failure
Dialysis,Kidney failure
Endoscopy,Gastrointestinal issues
Appendectomy,Appendicitis
Cataract surgery,Cataract
Chemotherapy,Cancer
Endoscopy,Gastrointestinal issues
Chemotherapy,Cancer
Dialysis,Kidney failure
Dialysis,Kidney failure
Cataract surgery,Cataract
Dialysis,Kidney failure
Dialysis,Kidney failure
Cataract surgery,Cataract
Tonsillectomy,Tonsillitis
Hip replacement,Arthritis
Coronary bypass,Heart disease
Chemotherapy,Cancer
Endoscopy,Gastrointestinal issues
Hip replacement,Arthritis
Chemotherapy,Cancer
Coronary bypass,Heart disease
Endoscopy,Gastrointestinal issues
Coronary bypass,Heart disease
Endoscopy,Gastrointestinal issues
Chemotherapy,Cancer
Coronary bypass,Heart disease
Coronary bypass,Heart disease
Hip replacement,Arthritis
Coronary bypass,Heart disease
Chemotherapy,Cancer
Hip replacement,Arthritis
Endoscopy,Gastrointestinal issues
Hip replacement,Arthritis
Appendectomy,Appendicitis
Endoscopy,Gastrointestinal issues
Endoscopy,Gastrointestinal issues
Tonsillectomy,Tonsillitis
Dialysis,Kidney failure
Tonsillectomy,Tonsillitis
Hip replacement,Arthritis
Coronary bypass,Heart disease
Appendectomy,Appendicitis
Appendectomy,Appendicitis
Appendectomy,Appendicitis
Cataract surgery,Cataract
Cataract surgery,Cataract
Tonsillectomy,Tonsillitis
Dialysis,Kidney failure
Tonsillectomy,Tonsillitis
Dialysis,Kidney failure
Coronary bypass,Heart disease
Hip replacement,Arthritis
Dialysis,Kidney failure
Hip replacement,Arthritis
Dialysis,Kidney failure
Chemotherapy,Cancer
Dialysis,Kidney failure
Tonsillectomy,Tonsillitis
Cataract surgery,Cataract
Appendectomy,Appendicitis
