Disease,Symptoms
Influenza #0,leg swelling; fatigue; bruising; halitosis; eye pain; palpitations; polyuria; blood in urine
Common Cold (acute),loss of appetite; vomiting; swelling; jaundice; gurgling; breast pain; sore throat; sneezing
Pneumonia (chronic),halitosis; mood swings; blood in urine; confusion
Bronchitis (chronic),rash; chills; muscle pain; balance problems; lymphadenopathy; swelling; gurgling
Asthma,recurrent infections; bloating; tinnitus; syncope; weight gain
Chronic Obstructive Pulmonary Disease,trauma history; bloody cough; menstrual irregularities; recurrent infections
Tuberculosis,blood in urine; vomiting; frequent infections; menstrual irregularities; cough; stiffness; hallucinations
COVID-19 (acute),floaters; blocked urine flow; trauma history
Sinusitis variant 1,trauma history; stiffness; polyuria; vaginal discharge; finger clubbing; blocked urine flow; abdominal pain; difficulty swallowing
Allergic Rhinitis (acute),chest pain; hair loss; depression; jaundice; heat intolerance; hoarseness
Otitis Media (chronic),dizziness; finger clubbing; tinnitus; generalized pain; bleeding; edema; breast lump; bloating
Pharyngitis,fatigue; palpitations; bleeding; tingling
Tonsillitis,diarrhea; back pain; hallucinations
Gastroenteritis,pelvic pain; floaters; blocked urine flow; easy bruising
Gastritis,generalized pain; mood swings; breast pain; dry mouth; gurgling; wheezing; night sweats; edema
Peptic Ulcer Disease variant 4,numbness; heat intolerance; breast lump
GERD,palpitations; localized pain; blocked urine flow; ear discharge; eye pain
Hepatitis A,back pain; blood in urine; diarrhea; severe pain; blocked urine flow; mood swings
Hepatitis B (acute),burning urination; headache; menstrual irregularities; itching; nasal congestion; constipation; floaters; vomiting
Hepatitis C,ear discharge; leg swelling; finger clubbing; dry skin; shortness of breath; weakness; halitosis; yellow eyes
Fatty Liver,loss of appetite; halitosis; insomnia; ear pain
Cirrhosis (chronic),postmenopausal bleeding; anxiety; ear pain
Pancreatitis (acute),ear discharge; difficulty swallowing; yellow eyes; bad breath; weight gain; halitosis; dry skin
Gallstones #23,itching; weight gain; loss of appetite
Appendicitis (chronic),muscle pain; recurrent infections; sore throat; bloating; slow wound healing; chest pain; loss of appetite
Irritable Bowel Syndrome (acute),burning urination; frequent infections; halitosis
Ulcerative Colitis (acute),dry mouth; jaundice; shortness of breath; sore throat
